++++++++++++++++++++++++++++++++++++++++++
Initiating model: CUEURA1
++++++++++++++++++++++++++++++++++++++++++
+-----------------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+
|   Feature\Rois  | TP0 | FP0 | TN0 | FN0 | FScore0 | TP1 | FP1 | TN1 | FN1 | FScore1 | TP2 | FP2 | TN2 | FN2 | FScore2 | TP3 | FP3 | TN3 | FN3 | FScore3 | TP4 | FP4 | TN4 | FN4 | FScore4 |
|      DSURF      |  78 |  8  |  29 |  3  |   0.84  |  84 |  3  |  25 |  6  |   0.85  |  87 |  5  |  26 |  0  |   0.91  |  81 |  7  |  26 |  4  |   0.83  |  91 |  2  |  23 |  2  |   0.92  |
|      DSURF      |  80 |  6  |  29 |  3  |   0.87  |  75 |  12 |  23 |  8  |   0.7   |  85 |  7  |  26 |  0  |   0.88  |  82 |  6  |  27 |  3  |   0.86  |  90 |  3  |  17 |  8  |   0.76  |
|      DSURF      |  81 |  5  |  30 |  2  |   0.9   |  82 |  5  |  28 |  3  |   0.88  |  84 |  8  |  25 |  1  |   0.85  |  84 |  4  |  28 |  2  |   0.9   |  80 |  13 |  21 |  4  |   0.71  |
|      DSURF      |  84 |  2  |  29 |  3  |   0.92  |  80 |  7  |  25 |  6  |   0.79  |  88 |  4  |  23 |  3  |   0.87  |  79 |  9  |  24 |  6  |   0.76  |  87 |  6  |  23 |  2  |   0.85  |
|       HOG       |  85 |  1  |  32 |  0  |   0.98  |  87 |  0  |  31 |  0  |   1.0   |  92 |  0  |  26 |  0  |   1.0   |  87 |  1  |  30 |  0  |   0.98  |  93 |  0  |  25 |  0  |   1.0   |
|       HOG       |  84 |  2  |  32 |  0  |   0.97  |  86 |  1  |  30 |  1  |   0.97  |  92 |  0  |  26 |  0  |   1.0   |  86 |  2  |  30 |  0  |   0.97  |  93 |  0  |  25 |  0  |   1.0   |
|       HOG       |  86 |  0  |  32 |  0  |   1.0   |  87 |  0  |  31 |  0  |   1.0   |  92 |  0  |  26 |  0  |   1.0   |  88 |  0  |  30 |  0  |   1.0   |  93 |  0  |  25 |  0  |   1.0   |
|       HOG       |  86 |  0  |  32 |  0  |   1.0   |  87 |  0  |  31 |  0  |   1.0   |  92 |  0  |  26 |  0  |   1.0   |  88 |  0  |  30 |  0  |   1.0   |  93 |  0  |  25 |  0  |   1.0   |
|       HOG       |  85 |  1  |  32 |  0  |   0.98  |  87 |  0  |  31 |  0  |   1.0   |  92 |  0  |  26 |  0  |   1.0   |  87 |  1  |  30 |  0  |   0.98  |  93 |  0  |  25 |  0  |   1.0   |
|       HOG       |  86 |  0  |  31 |  1  |   0.98  |  87 |  0  |  31 |  0  |   1.0   |  92 |  0  |  26 |  0  |   1.0   |  88 |  0  |  30 |  0  |   1.0   |  93 |  0  |  25 |  0  |   1.0   |
|       HOG       |  84 |  2  |  31 |  1  |   0.95  |  87 |  0  |  28 |  3  |   0.95  |  92 |  0  |  25 |  1  |   0.98  |  85 |  3  |  27 |  3  |   0.9   |  93 |  0  |  25 |  0  |   1.0   |
|       HOG       |  84 |  2  |  31 |  1  |   0.95  |  86 |  1  |  29 |  2  |   0.95  |  91 |  1  |  26 |  0  |   0.98  |  86 |  2  |  30 |  0  |   0.97  |  93 |  0  |  25 |  0  |   1.0   |
|       HOG       |  84 |  2  |  32 |  0  |   0.97  |  86 |  1  |  30 |  1  |   0.97  |  92 |  0  |  26 |  0  |   1.0   |  84 |  4  |  29 |  1  |   0.92  |  92 |  1  |  25 |  0  |   0.98  |
|       HOG       |  84 |  2  |  32 |  0  |   0.97  |  87 |  0  |  30 |  1  |   0.98  |  92 |  0  |  26 |  0  |   1.0   |  86 |  2  |  30 |  0  |   0.97  |  93 |  0  |  25 |  0  |   1.0   |
|       DHOG      |  86 |  0  |  32 |  0  |   1.0   |  87 |  0  |  30 |  1  |   0.98  |  92 |  0  |  26 |  0  |   1.0   |  87 |  1  |  29 |  1  |   0.97  |  93 |  0  |  24 |  1  |   0.98  |
|       DHOG      |  84 |  2  |  28 |  4  |   0.9   |  85 |  2  |  26 |  5  |   0.88  |  90 |  2  |  22 |  4  |   0.88  |  85 |  3  |  25 |  5  |   0.86  |  92 |  1  |  21 |  4  |   0.89  |
